00765_00623	Loaded_Language	78	84
00765_00623	Loaded_Language	124	133
00765_00623	Loaded_Language	398	409
00765_00623	Name_Calling,Labeling	440	465
00765_00623	Name_Calling,Labeling	485	493
00765_00623	Loaded_Language	765	778
00765_00623	Loaded_Language	991	1006
00765_00623	Repetition	1000	1006
00765_00623	Loaded_Language	955	980
00765_00623	Causal_Oversimplification	816	845
00765_00623	Appeal_to_fear-prejudice	1078	1101
00765_00623	Causal_Oversimplification	665	698
00765_00623	Loaded_Language	700	715
00765_00623	Loaded_Language	570	608
00765_00623	Loaded_Language	744	759
00765_00623	Exaggeration,Minimisation	891	954
