08721_06373	Exaggeration,Minimisation	158	168
08721_06373	Exaggeration,Minimisation	261	296
08721_06373	Exaggeration,Minimisation	385	497
08721_06373	Bandwagon	3	58
08721_06373	Bandwagon	802	838
08721_06373	Exaggeration,Minimisation	802	838
08721_06373	Loaded_Language	995	1032
08721_06373	Name_Calling,Labeling	1044	1061
08721_06373	Appeal_to_fear-prejudice	926	1061
08721_06373	Slogans	1141	1179
08721_06373	Slogans	1218	1306
08721_06373	Repetition	1229	1306
08721_06373	Flag-Waving	1229	1306
08721_06373	Flag-Waving	1331	1353
08721_06373	Thought-terminating_Cliches	1331	1353
08721_06373	Appeal_to_fear-prejudice	1063	1139
08721_06373	Appeal_to_fear-prejudice	193	218
08721_06373	Exaggeration,Minimisation	300	340
08721_06373	Exaggeration,Minimisation	92	107
08721_06373	Causal_Oversimplification	84	169
