00648_09784	Loaded_Language	19	28
00648_09784	Red_Herring	61	96
00648_09784	Exaggeration,Minimisation	97	110
00648_09784	Exaggeration,Minimisation	151	160
00648_09784	Exaggeration,Minimisation	124	150
00648_09784	Doubt	164	191
00648_09784	Loaded_Language	200	211
00648_09784	Loaded_Language	316	323
00648_09784	Loaded_Language	332	363
00648_09784	Causal_Oversimplification	259	363
00648_09784	Loaded_Language	451	463
00648_09784	Slogans	632	645
00648_09784	Loaded_Language	522	534
00648_09784	Exaggeration,Minimisation	564	579
00648_09784	Exaggeration,Minimisation	589	620
00648_09784	Black-and-White_Fallacy	486	620
