00724_07536	Name_Calling,Labeling	46	54
00724_07536	Red_Herring	165	173
00724_07536	Appeal_to_fear-prejudice	263	290
00724_07536	Appeal_to_fear-prejudice	383	397
00724_07536	Name_Calling,Labeling	437	450
00724_07536	Name_Calling,Labeling	452	473
00724_07536	Loaded_Language	514	521
00724_07536	Name_Calling,Labeling	602	610
00724_07536	Whataboutism	591	601
00724_07536	Loaded_Language	641	657
00724_07536	Slogans	668	713
00724_07536	Flag-Waving	742	805
00724_07536	Loaded_Language	824	857
00724_07536	Appeal_to_fear-prejudice	890	918
00724_07536	Flag-Waving	949	979
