00194_04256	Loaded_Language	645	686
00194_04256	Loaded_Language	731	748
00194_04256	Loaded_Language	750	755
00194_04256	Loaded_Language	865	890
00194_04256	Thought-terminating_Cliches	1442	1459
00194_04256	Loaded_Language	1677	1698
00194_04256	Exaggeration,Minimisation	1033	1047
00194_04256	Thought-terminating_Cliches	1217	1233
00194_04256	Loaded_Language	1851	1880
00194_04256	Loaded_Language	432	445
00194_04256	Obfuscation,Intentional_Vagueness,Confusion	244	309
00194_04256	Name_Calling,Labeling	489	513
00194_04256	Exaggeration,Minimisation	515	536
00194_04256	Loaded_Language	848	854
00194_04256	Exaggeration,Minimisation	904	926
00194_04256	Causal_Oversimplification	1399	1440
00194_04256	Causal_Oversimplification	1623	1649
00194_04256	Slogans	370	421
00194_04256	Exaggeration,Minimisation	175	188
00194_04256	Loaded_Language	1070	1085
00194_04256	Exaggeration,Minimisation	1247	1271
00194_04256	Loaded_Language	1060	1067
00194_04256	Causal_Oversimplification	1168	1196
00194_04256	Loaded_Language	1775	1791
00194_04256	Loaded_Language	1796	1824
00194_04256	Causal_Oversimplification	792	833
00194_04256	Causal_Oversimplification	904	926
00194_04256	Appeal_to_fear-prejudice	1623	1649
