00714_07537	Flag-Waving	59	106
00714_07537	Exaggeration,Minimisation	123	140
00714_07537	Name_Calling,Labeling	199	220
00714_07537	Name_Calling,Labeling	312	326
00714_07537	Appeal_to_fear-prejudice	334	360
00714_07537	Name_Calling,Labeling	372	389
00714_07537	Exaggeration,Minimisation	396	412
00714_07537	Name_Calling,Labeling	476	488
00714_07537	Name_Calling,Labeling	636	644
00714_07537	Repetition	646	655
00714_07537	Name_Calling,Labeling	675	683
00714_07537	Name_Calling,Labeling	710	717
00714_07537	Exaggeration,Minimisation	788	806
00714_07537	Slogans	848	869
