08837_06398	Exaggeration,Minimisation	370	408
08837_06398	Loaded_Language	409	455
08837_06398	Appeal_to_fear-prejudice	505	542
08837_06398	Bandwagon	632	669
08837_06398	Flag-Waving	689	712
08837_06398	Exaggeration,Minimisation	797	830
08837_06398	Slogans	845	872
08837_06398	Name_Calling,Labeling	1059	1066
08837_06398	Flag-Waving	1083	1109
08837_06398	Flag-Waving	1111	1141
08837_06398	Exaggeration,Minimisation	1183	1214
08837_06398	Appeal_to_Authority	1299	1312
08837_06398	Exaggeration,Minimisation	1355	1374
08837_06398	Loaded_Language	1653	1676
08837_06398	Obfuscation,Intentional_Vagueness,Confusion	1678	1831
08837_06398	Slogans	1833	1854
08837_06398	Slogans	1856	1872
08837_06398	Slogans	2185	2201
08837_06398	Flag-Waving	2205	2230
08837_06398	Appeal_to_fear-prejudice	2467	2483
08837_06398	Exaggeration,Minimisation	2399	2433
08837_06398	Appeal_to_fear-prejudice	2534	2549
08837_06398	Appeal_to_fear-prejudice	2592	2607
08837_06398	Appeal_to_fear-prejudice	2630	2645
08837_06398	Appeal_to_fear-prejudice	2715	2730
08837_06398	Appeal_to_fear-prejudice	2765	2780
08837_06398	Exaggeration,Minimisation	2821	2847
08837_06398	Black-and-White_Fallacy	2854	2890
08837_06398	Repetition	2399	2780
08837_06398	Appeal_to_fear-prejudice	2919	2934
08837_06398	Appeal_to_fear-prejudice	2973	2988
08837_06398	Appeal_to_fear-prejudice	3048	3063
08837_06398	Repetition	2892	3064
08837_06398	Exaggeration,Minimisation	3208	3232
08837_06398	Appeal_to_Authority	3234	3274
08837_06398	Loaded_Language	3376	3407
08837_06398	Reductio_ad_hitlerum	3510	3525
08837_06398	Flag-Waving	3896	3970
